DRI Number,Project Name,Water Usage,County,Initial Info Form Submision Date,Cleaned Water Usage Data,Water Discharge Data,Cleaned Water Discharge Data,Contains 'data center'?,Current Status,Data Center?
4460,"5401 Old Winder Highway, Braselton, GA 30517 - Residential",No water data,Hall,5/2/2025,No water data,No water data,No water data,0,Completed,TBD
4459,BPG Logistics Park,0.10 mgd,Gordon,4/22/2025,0.10,0.08 mgd,0.08,0,Completed,TBD
4458,High Falls Logistics Park,0.050,Spalding,4/17/2025,0.050,0.050,0.050,0,Completed,TBD
4457,Macon Park N Store 5 LLC,"less than 1,000 gallons per month",Bibb,4/16/2025,"less than 1,000 gallons per month",<1000 gallons per month,<1000 gallons per month,0,Completed,TBD
4456,Project Rockforge,No water data,Rockdale,4/14/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4454,Thomas Concrete,0.013 mgd,Bartow,4/15/2025,0.013,unknown,unknown,0,Completed,TBD
4453,Transfer Station - ABC Waste,100 gpd (0.0001 mgd),Chatham,4/11/2025,100 gpd (0.0001,100 gpd (0.0001 gpd),100 gpd (0.0001 gpd),0,Completed,TBD
4451,Avemore,tbd,Carroll,4/11/2025,tbd,tbd,tbd,0,Completed,TBD
4448,Project Gracie,5.0 at full buildout,Floyd,5/1/2025,5.0 at full buildout,1.65 at full buildout,1.65 at full buildout,1,Completed,TBD
4446,Bolingbroke Technology Campus,1 mgd,Monroe,4/9/2025,1,<0.08 mgd,<0.08,0,Completed,TBD
4444,Hard Labor Creek Water Treatment Facility,0.18 mgd,Walton,4/9/2025,0.18,No water data,No water data,0,Completed,TBD
4443,White Oak Technology Park,6.598 mgd,Columbia,4/8/2025,6.598,3.958 mgd,3.958,1,Completed,TBD
4441,Vulcan,No water data,Fulton,4/4/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4438,Hwy 278 Material Storage,300 gallons per day,Walton,4/3/2025,300 gallons per day,No water data,No water data,0,Completed,TBD
4434,MADISON FARMS INDUSTRIAL CENTER,0.034 mgd,Morgan,4/1/2025,0.034,0.034 mgd,0.034,0,Completed,TBD
4433,Project Bunkhouse,No water data,Bartow,3/31/2025,No water data,No water data,No water data,1,Completed,TBD
4431,356 University,No water data,Fulton,3/31/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4430,Sylvan Mixed Use,No water data,Fulton,3/27/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4428,Gregory Road Data Center,±1.08 mgd,Newton,3/27/2025,±1.08,±0.360 gpd after evaporation,±0.360 gpd after evaporation,1,Completed,TBD
4427,Everhour Phase 2 Residential Development,No water data,Coweta,3/25/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4426,Social Circle Technology Park,0.23 mgd,Walton,3/21/2025,0.23,0.19mgd,0.19mgd,1,Completed,TBD
4425,Project Spalding,0.0165,Spalding,3/28/2025,0.0165,0.005,0.005,1,Completed,TBD
4424,McDonough Civic Complex,No water data,Henry,3/20/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4423,Project 34,"0.01 mgd (10,000 gallons/day)",Coweta,3/18/2025,0.01,0.004 mgd,0.004,0,DRI Determination Made,TBD
4422,Hickman Property,No water data,Douglas,3/14/2025,No water data,No water data,No water data,1,DRI Determination Made,TBD
4421,McLendon Tract PUD,0.45 mgd,Chatham,3/13/2025,0.45,0.45 mgd,0.45,0,Completed,TBD
4420,Racetrac Extended Diesel Offer,0.00222 mgd,Jackson,3/12/2025,0.00222,0.0018 mgd,0.0018,0,Completed,TBD
4416,Short Road Mixed Use,No water data,Fulton,3/10/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4414,Project West,0.1 mgd,Troup,3/7/2025,0.1,0.1 mgd,0.1,1,Completed,TBD
4412,1056784 7-Eleven New Development,"3,000 gallons per day",Effingham,2/21/2025,"3,000 gallons per day","3,000 gallons per day","3,000 gallons per day",0,Completed,TBD
4410,Dawes Avenue Planned Development,No water data,Chatham,2/20/2025,No water data,No water data,No water data,0,Terminated,TBD
4409,Dawes Avenue Planned Development,No water data,Chatham,2/20/2025,No water data,No water data,No water data,0,Terminated,TBD
4408,Dawes Avenue Planned Development,No water data,Chatham,2/20/2025,No water data,No water data,No water data,0,Completed,TBD
4406,Newnan Crossing East Mixed-Use Development,0.12 mgd,Coweta,2/20/2025,0.12,0.11 mgd,0.11,0,DRI Determination Made,TBD
4405,Riverside Planned Development,0.25 million gallons per day at buildout,Chatham,2/19/2025,0.25 million gallons per day at buildout,0.20 million gallons per day at buildout,0.20 million gallons per day at buildout,0,Completed,TBD
4403,Project Springbank,"0.015 (15,000 gpd)",Bartow,2/14/2025,"0.015 (15,000 gpd)",0,0,1,Completed,TBD
4401,7-11 Site #1056746,0.00025 mgd,Troup,2/10/2025,0.00025,0.00025 mgd,0.00025,0,Completed,TBD
4400,Project Mermaid,0.02 mgd,Camden,2/6/2025,0.02,0.02 mgd,0.02,0,Completed,TBD
4399,"Lake Oconee Estates & Beach Club, Phase II",0.1 mgd,Greene,2/5/2025,0.1,0.1 mgd,0.1,0,Completed,TBD
4396,Piedmont Paving Asphalt Plant,.001 mgd,Coweta,2/3/2025,.001,.001,.001,0,Completed,TBD
4391,Extra Mile Truck Stop,.00025 mgd,Tift,2/6/2025,.00025,.00020 mgd,.00020,0,Completed,TBD
4390,Project Splice,0.3 mgd,Crisp,3/6/2025,0.3,<0.1mgd,<0.1mgd,0,Completed,TBD
4388,Oxford Newnan,0.14 mgd,Coweta,1/31/2025,0.14,0.12 mgd,0.12,0,Completed,TBD
4387,Project Paradise,.03mgd,Newton,1/30/2025,.03mgd,.029mgd,.029mgd,0,Completed,TBD
4386,Project Horn,0.010425,Monroe,1/27/2025,0.010425,0.010425,0.010425,0,Completed,TBD
4385,Project Horn,No water data,Monroe,1/27/2025,No water data,No water data,No water data,0,Withdrawn,TBD
4384,Lake Lanier Resort,0.053 mgd,Hall,1/29/2025,0.053,0.051 mgd,0.051,0,Additional Form Submitted,TBD
4383,Clipper Petroleum,0.015,Pickens,1/21/2025,0.015,0.015,0.015,0,Completed,TBD
4381,Gas Pro Travel Center #108,"1,400 gpd",Bulloch,1/21/2025,"1,400 gpd","1,300 gpd","1,300 gpd",0,Completed,TBD
4380,IMI Corporate Campus,0.00113 mgd (1130 gdp),Oconee,1/17/2025,0.00113,3500 gpd,3500 gpd,0,Completed,TBD
4379,Laurel View Expansion,.1918 mgd,Liberty,1/16/2025,.1918,.1918 mgd,.1918,0,Completed,TBD
4378,DeKalb Concrete Plant,"estimated consumption of 10,000 gallons per day",DeKalb,1/16/2025,"estimated consumption of 10,000 gallons per day",.00075 mgd or 750 gallons per day,.00075,0,Completed,TBD
4376,Newton County Technology Park,0.23 mgd,Newton,1/16/2025,0.23,0.19mgd,0.19mgd,1,Completed,TBD
4375,Hwy-9 Tract,No water data,Dawson,1/15/2025,No water data,No water data,No water data,0,Initial Form Submitted,TBD
4374,Central Coweta Industrial Phase II,0.028 mgd,Coweta,1/15/2025,0.028,0.028 mgd,0.028,1,DRI Determination Made,TBD
4372,Cottages at Lake Oconee,"0.059 mgd (59,466 gpd average)",Putnam,1/13/2025,0.059,"0.054 mgd (54,060 gpd average)",0.054,0,Completed,TBD
4371,Cascade Palmetto Highway & Ridge Road,No water data,Fulton,1/13/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4370,TD Jakes - Fort Mac Village One,No water data,Fulton,1/14/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4369,The Bluffs at Darien,0.038,McIntosh,1/10/2025,0.038,0.018,0.018,0,Completed,TBD
4367,981 Howell Mill Road Mixed-Use Development,0.32 mgd/ day,Fulton,1/9/2025,0.32,0.29 mgd/ day,0.29,0,Certified Complete,TBD
4365,Panola Park,No water data,DeKalb,1/6/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4364,Tates Landing Surface Mine,"41,700",Glynn,1/6/2025,"41,700","41,700","41,700",0,Completed,TBD
4363,Golden Isles Speedway Surface Mine,na,Glynn,1/3/2025,na,na,na,0,Completed,TBD
4362,Huber West Midtown,No water data,Fulton,1/2/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4361,Project Sail,9.1,Coweta,12/31/2024,9.1,3.03,3.03,1,Completed,TBD
4360,Lotus Grove,0.124 mgd,DeKalb,12/30/2024,0.124,0.124 mgd,0.124,0,Completed,TBD
4359,The Crossing at Flowery Branch,0.13 mgd,Hall,12/26/2024,0.13,0.10 mgd,0.10,0,Completed,TBD
4358,Lanier Auto Sales & Truck Storage,50 to 70 gallons per day,Hall,12/17/2024,50 to 70 gallons per day,125 gpd (0.000125 mgd),125 gpd (0.000125,0,Withdrawn,TBD
4357,Lanier Auto Sales & Truck Storage,No water data,Hall,12/17/2024,No water data,No water data,No water data,0,Request for Comments Made,TBD
4353,Old Register Road PUD,0.8 mgd,Bulloch,12/18/2024,0.8,0.5 mgd,0.5,0,Completed,TBD
4352,Serenbe,0.35 mgd ~ 12.8 mgy,Fulton,4/28/2025,0.35,0.35 mgd ~ 12.8 mgy,0.35,0,DRI Determination Made,TBD
4351,Davis Road Townhomes,to be determined,Polk,12/10/2024,to be determined,to be determined,to be determined,0,Completed,TBD
4350,"Speedway - Carnesville, GA",0.0056 mgd,Franklin,12/9/2024,0.0056,0.0011 mgd,0.0011,0,Completed,TBD
4348,Le Jardin Subdivision,0.25,Fulton,12/7/2024,0.25,0.25,0.25,0,Completed,TBD
4347,Avemore,1 mgd,Carroll,12/6/2024,1,< 1 mgd,< 1,0,Withdrawn,TBD
4345,Bagley Tract Dawson Forest,.057 mgd,Dawson,12/6/2024,.057,.047 mgd,.047,0,Additional Form Submitted,TBD
4343,Southlake Business Park,0.002,Bibb,12/6/2024,0.002,0.002,0.002,0,Completed,TBD
4342,Stonewall Tell Data Center,0.030 mgd,Fulton,12/6/2024,0.030,0.025 mgd,0.025,1,Completed,TBD
4340,Serenity Lake,No water data,Upson,12/12/2024,No water data,No water data,No water data,0,Withdrawn,TBD
4337,Grove Creek,0.4161 mgd,Banks,12/2/2024,0.4161,0.3864 mgd,0.3864,0,Completed,TBD
4336,Raydient 2025 Planned Unit Development (PUD),0.85 mgd,Bryan,11/27/2024,0.85,0.85 mgd,0.85,0,Completed,TBD
4335,Lakeshore Mall Redevelopment,0.37 mgd,Hall,11/26/2024,0.37,0.31 mgd,0.31,0,Completed,TBD
4334,Stream Data Center,0.018 mgd,Douglas,11/26/2024,0.018,0.018 mgd,0.018,1,Completed,TBD
4332,City of Cartersville Transfer Station,"up to 240 gpd (0.00024 mgd). (30 gpd per employee, 3 employees; and 150 gpd wash water",Bartow,11/21/2024,up to 240 gpd (0.00024,"up to 255 gpd (0.000255 mgd). (35 gpd per employee, 3 employees and 150 gpd wash water).",up to 255 gpd (0.000255,0,Completed,TBD
4331,Fortner Road Townhouses,0.05mgd,Candler,11/15/2024,0.05mgd,0.023mgd,0.023mgd,0,Completed,TBD
4330,Avon-Higgins Mixed Use,1.1 mgd,Fulton,11/15/2024,1.1,0.85 mgd,0.85,0,Completed,TBD
4329,Data Center - 0 Social Circle Parkway,0.02 mgd,Walton,11/15/2024,0.02,"125,000 gpd","125,000 gpd",1,Completed,TBD
4328,STEPHENS lake,.15 mgd,Dawson,11/14/2024,.15,.125 mgd,.125,0,Additional Form Submitted,TBD
4327,1900 Level Grove Road Townhome Development,0.07 mgd,Habersham,11/11/2024,0.07,0.07 mgd,0.07,0,Completed,TBD
4326,Lithia Springs Data Center,0.062 mgd,Douglas,11/8/2024,0.062,0.034 mgd,0.034,1,Completed,TBD
4325,Lithia Springs Data Center,No water data,Douglas,11/8/2024,No water data,No water data,No water data,1,Withdrawn,TBD
4324,Georgia Stone Products Pine Log Quarry,"less than 1,000 gallons per day",Bartow,11/7/2024,"less than 1,000 gallons per day","less than 1,000 gallons per day","less than 1,000 gallons per day",0,Completed,TBD
4322,Project Hummingbird,.475mgd,Troup,11/7/2024,.475mgd,.475mgd,.475mgd,0,Completed,TBD
4321,680 Spring Street,to be determined by mep as plans progress,Fulton,11/6/2024,to be determined by mep as plans progress,to be determined by mep as plans progress,to be determined by mep as plans progress,0,Completed,TBD
4320,Corporate Square Redevelopment,0.6 mgd,DeKalb,11/1/2024,0.6,0.5 mgd,0.5,0,Completed,TBD
4319,SOLARCYCLE EXPANSION,"to be determined, utilizing existing water supply and infrastructure.",Polk,10/31/2024,"to be determined, utilizing existing water supply and infrastructure.","to be determined, utilizing existing sewer infrastructure.","to be determined, utilizing existing sewer infrastructure.",0,Completed,TBD
4318,New Ready-Mix Concrete Plant,0.0035 mgd,Bibb,10/28/2024,0.0035,0.00025 mgd,0.00025,0,Completed,TBD
4317,Brookside Mixed-Use,0.22 mgd,Fulton,12/9/2024,0.22,0.18 mgd,0.18,0,Completed,TBD
4316,Pope Farm,.2048 mgd,Coweta,10/24/2024,.2048,.2048 mgd,.2048,0,Completed,TBD
4315,ATL03/Red Oak,0.6 mgd,Fulton,10/31/2024,0.6,0.075 mgd,0.075,1,Completed,TBD
4314,"Mahaffey Pickens Tucker, LLP",0.141 mgd,Jackson,10/21/2024,0.141,0.115 mgd,0.115,0,Completed,TBD
4313,Mapco Industrial Site,0.164 mgd (1.2x sewer gpd),Fulton,10/17/2024,0.164,0.137 mgd (75 gpd/1000 sf),0.137,0,Completed,TBD
4310,Cresswind at Dawson Springs,.20 mgd,Dawson,10/14/2024,.20,0.19 mgd,0.19,0,Completed,TBD
4308,Rumble Technology Campus,2 mgd,Monroe,10/14/2024,2,.03 mgd,.03,1,Completed,TBD
4307,Hillwood,.03 mgd,Meriwether,10/14/2024,.03,.03 mgd,.03,0,Completed,TBD
4306,Fayetteville City Center,0.1681,Fayette,10/8/2024,0.1681,0.1808,0.1808,0,Completed,TBD
4305,Sparta Quarry,200 gallons/day for office/shop toilet & sink,Hancock,10/9/2024,200 gallons/day for office/shop toilet & sink,0.0002 mdf (200 gallons/day for office/shop toilet & sink),0.0002 mdf (200 gallons/day for office/shop toilet & sink),0,Completed,TBD
4304,NE Industrial Blvd Truck Parking,0,Bibb,10/9/2024,0,0,0,0,Completed,TBD
4303,Oak Tree Road Towns,0.266,Candler,10/4/2024,0.266,0.266,0.266,0,Completed,TBD
4302,Hwy 411 west Industrial Park,0.108 mmgpd,Bartow,10/3/2024,0.108 mmgpd,0.058 mmgpd,0.058 mmgpd,0,Completed,TBD
4301,Project Peach,0.105 mgd,Coweta,10/3/2024,0.105,0.0525 mgd,0.0525,1,Completed,TBD
4300,32 Crossing,"single-family - 350 gpd/home, multi-family - 300 gpd/ per home (.0541 mgd)",Lee,10/2/2024,"single-family - 350 gpd/home, multi-family - 300 gpd/ per home (.0541",.0541 mdg (see attached chart),.0541 mdg (see attached chart),0,Additional Form Submitted,TBD
4298,Leblanc Tract,0.076 mgd,Dawson,10/1/2024,0.076,0.064 mgd,0.064,0,Completed,TBD
4297,A. Scott Emmons Water Reclamation Facility Phase 2 and 2A,<0.005,Newton,9/23/2024,<0.005,<0.005,<0.005,0,Completed,TBD
4295,425 Chappell Road,0.33 mgd,Fulton,11/15/2024,0.33,0.27 mgd,0.27,0,Completed,TBD
4294,Refuge Subdivision,"137,700",Glynn,9/17/2024,"137,700","137,700","137,700",0,Completed,TBD
4292,Dover Bluff Tract,0.177 mgd,Camden,9/16/2024,0.177,0.15 mgd,0.15,0,Completed,TBD
4291,Smarr Combined Cycle Energy Facility,approximately 0.10 to 0.37 mgd,Monroe,9/12/2024,approximately 0.10 to 0.37,approximately 0.06 to 0.12 mgd,approximately 0.06 to 0.12,0,Completed,TBD
4290,Hinely Tract Planned Development,0.16 mgd,Effingham,9/11/2024,0.16,0.16 mgd,0.16,0,Completed,TBD
4288,Commerce 2.0 MGD Grove Creek Water Pollution Control Plant,no extra water demand expected,Jackson,9/6/2024,no extra water demand expected,no extra sewer demand,no extra sewer demand,0,Completed,TBD
4286,North Towaliga Village Node,.16994 mgd,Spalding,9/10/2024,.16994,.16994 mgd,.16994,0,Completed,TBD
4284,Industrial Concrete Plant,No water data,Bryan,9/5/2024,No water data,No water data,No water data,0,Completed,TBD
4283,Industrial Concrete Plant,.015 mgd,Bryan,9/5/2024,.015,.000200 mgd,.000200,0,Completed,TBD
4282,Bouckaert Farms,0.8 mgd ~ 218 mgy,Fulton,1/15/2025,0.8,0.8 mgd ~ 218 mgy,0.8,0,Completed,TBD
4281,Ridgeview,No water data,Hall,9/4/2024,No water data,No water data,No water data,0,Withdrawn,TBD
4280,Ridgeview,0.214,Hall,9/4/2024,0.214,0.214,0.214,0,Completed,TBD
4277,East Jackson Quarry,0,Jackson,9/3/2024,0,0,0,0,Completed,TBD
4274,ETOWAH HEIGHTS AT RED TOP,0.58 mgd,Bartow,9/3/2024,0.58,0.48 mgd,0.48,0,Completed,TBD
4273,Oconee Gateway Office Warehouse,"21,150 gpd or 0.02 mgd",Oconee,8/29/2024,"21,150 gpd or 0.02","21,150 gpd or 0.02 mgd","21,150 gpd or 0.02",0,Completed,TBD
4272,Legacy 75 Trade Center with proposed quarry,up to 0.5129,Lamar,8/29/2024,up to 0.5129,1.73282,1.73282,0,Completed,TBD
4270,Monroe Plaza Commercial Center,"4,000 gpd / 1,000.000 = 0.004 million gpd",Oconee,8/28/2024,"4,000 gpd / 1,000.000 = 0.004 million gpd",0.0032 million gpd,0.0032 million gpd,0,Completed,TBD
4269,Oconee Gateway Office Warehouse,"21,150 gpd or 0.02 mgd",Oconee,8/23/2024,"21,150 gpd or 0.02","21,150 gpd or 0.02 mgd","21,150 gpd or 0.02",0,Withdrawn,TBD
4267,Rahn Tract,No water data,Effingham,8/23/2024,No water data,No water data,No water data,0,Completed,TBD
4266,Rahn Tract,0.031,Effingham,8/23/2024,0.031,0.031,0.031,0,Completed,TBD
4265,Highway 280 Asphalt Plant,No water data,Bryan,8/20/2024,No water data,No water data,No water data,0,Completed,TBD
4263,M94 SMP Amendment 8,0 mgd,Bibb,8/15/2024,0,0 mgd,0,0,Completed,TBD
4260,"RaceTrac, Inc.",0.003214 mgd,Morgan,8/15/2024,0.003214,0.003214 mgd,0.003214,0,Completed,TBD
4259,South Spring,0.28 mgd,Cobb,9/9/2024,0.28,0.23 mgd,0.23,0,Completed,TBD
4258,Thompson Mill Braselton Georgia,"100,000 gpd",Jackson,8/19/2024,"100,000 gpd",.10 mgd,.10,0,Completed,TBD
4257,Vantage Data Center - Stacks Rd,0.03,Fulton,8/13/2024,0.03,0.03,0.03,1,Completed,TBD
4256,Vantage Data Center - Westlake,".0044 mgd (4,380 gpd)",Fulton,8/13/2024,.0044,".0022 mgd (2,220 gpd)",.0022,1,Completed,TBD
4255,South Water Reclamation Facility,na,Effingham,8/12/2024,na,na,na,0,Completed,TBD
4254,Winslow Park,0.175,Clarke,8/8/2024,0.175,0.175,0.175,0,Completed,TBD
4253,1950 Benton Blvd. and 76 Highlands Blvd. LLC,+/- 0.194 mgd (including proposed kroger),Chatham,8/5/2024,+/- 0.194,+/- 0.194 mgd (including proposed kroger),+/- 0.194,0,Completed,TBD
4252,Oconee Shores,0.3221 mgd,Greene,8/2/2024,0.3221,0.3221 mgd,0.3221,0,Completed,TBD
4251,Strickland Tract,0.004,Henry,7/31/2024,0.004,0.004,0.004,1,Completed,TBD
4250,Champion's Run,No water data,DeKalb,7/31/2024,No water data,No water data,No water data,0,Withdrawn,TBD
4249,23-293 Herbert Automotive,0,Hall,7/26/2024,0,0,0,0,Completed,TBD
4244,Pendergrass Assemblage,0.159 mgd,Jackson,7/26/2024,0.159,0.159 mgd,0.159,0,Completed,TBD
4242,Laurel View,0.849935 mgd,Liberty,7/26/2024,0.849935,0.849935 mgd,0.849935,0,Completed,TBD
4241,Branch Springs,2.5,Columbia,7/22/2024,2.5,2.5,2.5,0,Completed,TBD
4239,Hacks Pasture Subdivision,"660,000",Liberty,7/17/2024,"660,000","770,000","770,000",0,Completed,TBD
4237,Lofts at South Fulton,0.2059 mgd,Fulton,7/12/2024,0.2059,0.2059 mgd,0.2059,0,Completed,TBD
4235,ATL11,0.05 mgd,Fulton,7/15/2024,0.05,0.05 mgd,0.05,1,Completed,TBD
4234,Old Augusta Industrial Park,.003,Effingham,7/16/2024,.003,.003,.003,0,Completed,TBD
4233,W & W Parking,tbd,Houston,7/8/2024,tbd,No water data,No water data,0,Withdrawn,TBD
4232,The Shoals Athens,0.169,Clarke,7/2/2024,0.169,0.169,0.169,0,Completed,TBD
4230,First Quality Phase 3 Expansion,No water data,Bibb,6/28/2024,No water data,No water data,No water data,0,Withdrawn,TBD
4229,First Quality Phase 3 Expansion,"60,000 gpd",Bibb,6/28/2024,"60,000 gpd","45,000 gpd","45,000 gpd",0,Completed,TBD
4228,Hwy 124/Maddox Road,0.0066,Jackson,6/26/2024,0.0066,0.0066,0.0066,0,Completed,TBD
4224,Carey Station Urban Water Reuse Facility 0.5MGD to 1.0MGD Expansion,no extra water demand,Greene,6/21/2024,no extra water demand,no extra sewer demand,no extra sewer demand,0,Completed,TBD
4223,Cobb County Schools Event Facility,No water data,Cobb,6/17/2024,No water data,No water data,No water data,0,Withdrawn,TBD
4222,T5 Data Center,No water data,Fulton,6/11/2024,No water data,No water data,No water data,1,Withdrawn,TBD
4220,Breedlove Farms,0.500,Walton,6/7/2024,0.500,0.500,0.500,0,Completed,TBD
4217,Fairgrounds Legacy Development,~0.12 mgd,Chatham,6/5/2024,~0.12,~0.12 mgd,~0.12,0,Completed,TBD
4215,Blue Fern Village,"780,000",Bulloch,6/3/2024,"780,000","720,000","720,000",0,Completed,TBD
4214,Harrison Ridge Subdivision,0.05,Franklin,5/23/2024,0.05,0.05,0.05,0,Completed,TBD
4213,Fairburn Technology Center,"60,000 gallons of water per day",Fulton,5/22/2024,"60,000 gallons of water per day",0.015 mgd,0.015,1,Completed,TBD
4212,Highway 119 PUD,.14 mgd,Bryan,5/21/2024,.14,.09 mgd,.09,0,Completed,TBD
4207,Lucky Joe PUD,0.135 mgd,Bryan,5/21/2024,0.135,0.110 mgd,0.110,0,Completed,TBD
4206,GarrisonTract  Planned Unit Development,0.09 mgd,Bryan,5/15/2024,0.09,0.057 mgd,0.057,0,Completed,TBD
4204,Warnell-GSL Cattle Co LLC,0.8 mgd,Bryan,5/14/2024,0.8,0.5 mgd,0.5,0,Completed,TBD
4201,SunmaxTech Manufacturing Facility,No water data,Gordon,5/9/2024,No water data,No water data,No water data,0,Completed,TBD
4198,0 Rocky Creek,0.004,Henry,5/3/2024,0.004,0.004,0.004,1,Completed,TBD
4195,Villages at Ola Mixed Use Development,0.12 mgd,Henry,5/3/2024,0.12,0.1 mgd,0.1,0,Completed,TBD
4194,Trinity Christian School and Church,0.02875mgd,Coweta,5/2/2024,0.02875mgd,0.02875mgd,0.02875mgd,0,Completed,TBD
4193,Metter Industrial Complex,"0.0099 mgd (9,850 gpd)",Candler,4/30/2024,0.0099,"estimated: 0.0099 mgd (9,850 gpd)",estimated: 0.0099,0,Additional Form Submitted,TBD
4192,Douglas Waldrop,0.01 mgd,Douglas,4/29/2024,0.01,0.008 mgd,0.008,1,Completed,TBD
4188,McIntosh County Major Modification of Permit for Landfill Expansion,No water data,McIntosh,4/25/2024,No water data,No water data,No water data,0,Completed,TBD
4187,1060 Donald Lee Hollowell,0.60 mgd,Fulton,4/21/2024,0.60,0.50 mgd,0.50,0,Completed,TBD
4186,Guyton Industrial Dr Waste and Recycling Facility,"up to 2,000 gpd (0.002 mgd) based on max 65 employees and 30 gpd/employee",Bartow,4/19/2024,"up to 2,000 gpd (0.002","up to 5,000 gpd (0.005 mgd) based on 35 gpd/employee plus some floor drains","up to 5,000 gpd (0.005",0,Completed,TBD
4185,The Landing at Tuck Farm,0.25 mgd,Walton,4/18/2024,0.25,0.25 mgd,0.25,0,Completed,TBD
4184,Apalachee Tract,0.3429 mgd,Greene,4/15/2024,0.3429,0.3344 mgd,0.3344,0,Withdrawn,TBD
4183,Ridgeview,0.214,Hall,4/11/2024,0.214,0.214,0.214,0,Completed,TBD
4182,Bucksnort Rd. Multi-use Development Truck Stop,0.01 mgd,Butts,4/1/2024,0.01,0.01 mgd,0.01,0,Completed,TBD
4179,MS2 Farms Tract - Effingham Parkway,.006,Effingham,4/4/2024,.006,.006,.006,0,Completed,TBD
