DRI Number,Project info,County,Initial Info Form Submision Date,Current Status,Data Center?
4493,"[['Name of Proposed Project:', 'North Oconee Industrial Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4020 & 3886 Cornelia Highway and 4761 & 5019 Cagle Mill'], ['Brief Description of Project:', 'Light Industrial Park for Multiple'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Hall,6/9/2025,Withdrawn,TBD
4492,"[['Name of Proposed Project:', 'North Oconee Industrial Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4020 & 3886 Cornelia Highway and 4761 & 5019 Cagle Mill'], ['Brief Description of Project:', 'Light Industrial Park for Multiple'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Hall,6/9/2025,Withdrawn,TBD
4491,"[['Name of Proposed Project:', 'East Hiawatha PUD'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'East Hiawatha Street\r\n32 D 23\' 24"" N\r\n82 D 3\' 19"" W'], ['Brief Description of Project:', 'Mixed Residential Housing Development consisting of 250 Units with 102 Single Family Detached and 148 Townhouse Units.'], ['Name of Proposed Project:', 'East Hiawatha PUD'], ['DRI ID Number:', '4491'], ['Developer/Applicant:', 'Laurel Grove Development, LLC - Dave Burns'], ['Telephone:', '912-682-1299'], ['Email(s):', 'dburns1004@icloud.com'], ['Estimated Value at Build-Out:', '$56,250,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$990,765'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Metter'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.075 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Metter'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.075 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Candler,6/9/2025,Request for Comments Made,TBD
4489,"[['Name of Proposed Project:', 'New Cold Storage Facility for PermaCold Logistics'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '12631 GA HWYY 251, Darien, GA 31305'], ['Brief Description of Project:', '210,805 SF Cold Storage Distribution Facility.  Facility includes Maintenance Area, Office Space, and Parking.'], ['Name of Proposed Project:', 'New Cold Storage Facility for PermaCold Logistics'], ['DRI ID Number:', '4489'], ['Developer/Applicant:', 'TiCOLD Design Build'], ['Telephone:', '260-424-2222'], ['Email(s):', 'lstuller@ticold.com'], ['Estimated Value at Build-Out:', '$50,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$125,000-$150,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Darien, Georgia'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0432 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Darien, Georgia'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0432 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",McIntosh,6/4/2025,Completed,TBD
4488,"[['Name of Proposed Project:', 'New Cold Storage Facility for PermaCold Logistics'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '12631 GA HWYY 251, Darien, GA 31305'], ['Brief Description of Project:', '210,805 SF Cold Storage Distribution Facility.  Facility includes Maintenance Area, Office Space, and Parking.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",McIntosh,6/4/2025,Completed,TBD
4487,"[['Name of Proposed Project:', 'SRM Concrete Ready Mix Plant'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '295 Racetrack Road'], ['Brief Description of Project:', 'The project consists of constructing a Ready-Mix Concrete Batch Plant within an industrial developed site. The main elements of this facility consist of a small office, pump house, batching equipment, materials storage, weigh station / scales & wash rack. All required parking for employees & company vehicles, loading & unloading areas will also be provided. Materials are brought to the site where they would be mixed and loaded unto concrete trucks. SRM would invest approximately $18 to $22 million dollars and employ 10 to 15 employees for this facility.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Henry,6/5/2025,DRI Determination Made,TBD
4486,"[['Name of Proposed Project:', 'Grand Etowah - Bartow'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Parcel ID 01143-0232-001; Property Address: Howell Road, Bartow County'], ['Brief Description of Project:', 'Mixed Use Development (residential and commercial). 2,950 lots estimated'], ['Name of Proposed Project:', 'Grand Etowah - Bartow'], ['DRI ID Number:', '4486'], ['Developer/Applicant:', 'Grand Etowah Partners'], ['Telephone:', '678-346-5102'], ['Email(s):', 'GrandEtowahinfo@gmail.com'], ['Estimated Value at Build-Out:', '$2.4+ billion'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$7.8 million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Bartow County, potential capacity also from Cherokee Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1 million MGD at Buildout'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'TSG Water Resources Inc., 2401-B NE 18th Terrace, Gainesville, FL 32609'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1 MGD at Buildout'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bartow,6/3/2025,Completed,TBD
4485,"[['Name of Proposed Project:', 'Blue Heron Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5 W Gateway Blvd'], ['Brief Description of Project:', 'Commercial development consisting of approximately 8 lots totaling approximately 168,500 square feet of commercial space and approximately 3 hotels totaling 325 rooms.'], ['Name of Proposed Project:', 'Blue Heron Development'], ['DRI ID Number:', '4485'], ['Developer/Applicant:', 'Blue Heron Development Inc.'], ['Telephone:', '912-348-3002'], ['Email(s):', 'roger@lrphotels.com'], ['Estimated Value at Build-Out:', '$100 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$800,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.040'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.040'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Chatham,6/2/2025,DRI Determination Made,TBD
4483,"[['Name of Proposed Project:', 'Town Center at Mansa Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '0 Old National Highway and 0 Pleasant Hill Road (130101LL0408 and 130101LL0424)'], ['Brief Description of Project:', 'The proposed Town Center at Mansa Park project will include the following:\r\n• One (1) condominium tower with 494 units – we will exceed the minimum heated floor\r\narea requirements\r\n• One (1) workforce apartment building with 1,032 units\r\n• Six (6) office buildings (total 815,156 sf)\r\n• Three (3) hotels (total 480,039 sf)\r\n• Two (2) retail buildings (total 30,710 sf)\r\n• Two (2) restaurants (total 30,916 sf)'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Fulton,5/30/2025,DRI Determination Made,TBD
4482,"[['Name of Proposed Project:', 'ATL 15 and 16'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Former decommissioned Fort Gillem property in forest park, Clayton County'], ['Brief Description of Project:', 'Approx 1902657 sf of data center development on an approx. 97 acres site within the former Fort Gillem property. Previously part of the approx. 1048 acres Gillem Logistics center DRI#3073 but will require new DRI review due to a significant change.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Clayton,5/30/2025,DRI Determination Made,TBD
4481,"[['Name of Proposed Project:', 'The Covey at the Woodlands'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'S. Pinetree Blvd. (Thomas County Map 057G, Parcels 001 & 001A)'], ['Brief Description of Project:', 'Apartments'], ['Name of Proposed Project:', 'The Covey at the Woodlands'], ['DRI ID Number:', '4481'], ['Developer/Applicant:', 'Allerbest Development Inc. and Comanche Holdings, LLC'], ['Telephone:', '(229) 224-5789'], ['Email(s):', 'allerbestdev@gmail.com'], ['Estimated Value at Build-Out:', '$40,370,000.'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$330,000.'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Thomasville'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.155 mgpd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Thomasville'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.204120mgpd'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Thomas,5/23/2025,Additional Form Submitted,TBD
4478,"[['Name of Proposed Project:', 'Creekside Village - Mixed-Use Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '33°26’19.31""N 84°02\'40.93""W (33.436900, -84.043081) East of Rock Chapel Road and north of Pleasant'], ['Brief Description of Project:', 'A new mixed-use residential development is proposed for construction on undeveloped land parcels east of the intersection of SR 124 and Lithonia Industrial Boulevard in DeKalb County, Georgia. The proposed development will consist of 551 residential units and approximately 70,000 square feet of commercial space, approximately 7,000 square feet of which will be service space.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DeKalb,6/10/2025,DRI Determination Made,TBD
4476,"[['Name of Proposed Project:', 'Providence Point'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Ila Road; Parcels 010 002 & 010 046; GA Highway 98'], ['Brief Description of Project:', 'Tax Parcels # 010 002 & 010 046 is currently owned by Beaver Creek 463 LLC. Zoned R3 (2 family residential) and the jurisdiction has received an application to change the 161.8 acre property to a Planned Unit Development. Wanting a mixed use development containing 450 single family residential units, with shared amenities and a 2.83 acre commercial component. The residential portion is proposed to be all single family residential homes.'], ['Name of Proposed Project:', 'Providence Point'], ['DRI ID Number:', '4476'], ['Developer/Applicant:', 'NVR, Inc'], ['Telephone:', '404-556-7544'], ['Email(s):', 'jesclark@nvrinc.com'], ['Estimated Value at Build-Out:', '$135,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$135,304'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Commerce'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2 MGD (193,200 gallons per day)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Commerce'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2 MGD (180,000 gallons per day)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Jackson,5/14/2025,Completed,TBD
4474,"[['Name of Proposed Project:', ""Love's Travel Stop Parking Addition""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5189 SARDIS CHURCH RD'], ['Brief Description of Project:', 'The parking expansion project includes the addition of 47 commercial truck parking\r\nspaces and 12 recreational vehicle parking spaces across 3 separate parcels of land; 5189, 5211 Sardis Church Rd and a portion of 5251 Sardis Church Rd.'], ['Name of Proposed Project:', ""Love's Travel Stop Parking Addition""], ['DRI ID Number:', '4474'], ['Developer/Applicant:', ""Love's Travel Stops & Country Stores, Inc.""], ['Telephone:', '405-749-1744'], ['Email(s):', 'construction_utilities_permits@loves.com'], ['Estimated Value at Build-Out:', '1,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '10,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0006 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0018 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bibb,5/13/2025,Completed,TBD
4473,"[['Name of Proposed Project:', 'RaceTrac Jimmy Deloach Parkway'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '110 Crossroads Pkwy, Savannah, GA 31407   (32.162472, -81.211887)'], ['Brief Description of Project:', 'Racetrac is proposing to construct a +/- 8,100 SF convenient store gas station with associated gasoline and diesel pumps'], ['Name of Proposed Project:', 'RaceTrac Jimmy Deloach Parkway'], ['DRI ID Number:', '4473'], ['Developer/Applicant:', 'Racetrac'], ['Telephone:', '512-417-3222'], ['Email(s):', 'nfuss@bohlereng.com'], ['Estimated Value at Build-Out:', '$2,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$160,000/yr'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.003214MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.003214 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Chatham,5/13/2025,Completed,TBD
