DRI Number,Project info,Current Status
4457,"[['Name of Proposed Project:', 'Macon Park N Store 5 LLC'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '555 and 545 Guy Paine Rd, Macon, Ga 31206'], ['Brief Description of Project:', 'Phase 1. To add aggregate (very permeable) to the existing surface to provide semi-tractor/ utility vehicle parking at the front of the property. \r\nPhase 2: To add aggregate (very permeable) to the existing surface to provide semi-tractor / utility vehicle parking at the side and rear of the property. Any land disturbance will be minimal other than to scrap grass and replace With aggregate (no grading or buildup). \r\nPhase 3: To add new roof to building and secure outside entry to allow for indoor storage of boats, RVs, motorcycles, etc. \r\nThis has only been triggered due to the size of the acreage threshold, not the topography of the parcel.'], ['Name of Proposed Project:', 'Macon Park N Store 5 LLC'], ['DRI ID Number:', '4457'], ['Developer/Applicant:', 'Sean G Todd via Macon Park N Store 5, LLC'], ['Telephone:', '404-250-9798'], ['Email(s):', 'SeanGTodd@emcadvisors.net'], ['Estimated Value at Build-Out:', '1,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '1.3% of 1,500,000 = $19,500 property tax; zero sales tax'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Less than 1,000 gallons per month'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '<1000 gallons per month'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4454,"[['Name of Proposed Project:', 'Thomas Concrete'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '528 Highway 293, Emerson, GA 30137'], ['Brief Description of Project:', 'Construction of a new concrete facility'], ['Name of Proposed Project:', 'Thomas Concrete'], ['DRI ID Number:', '4454'], ['Developer/Applicant:', 'Thomas Concrete'], ['Telephone:', '6787949896'], ['Email(s):', 'bill.davis@thomasconcrete.com'], ['Estimated Value at Build-Out:', '6,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '69,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Emerson'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.013 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Emerson'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Unknown'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4456,"[['Name of Proposed Project:', 'Project Rockforge'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2000 Irwin Bridge Road, Conyers, GA 30012 (Parcel IDs: 041001008B, 0410010004)'], ['Brief Description of Project:', 'Eight Buildings (Totaling 2,044,500 SF) and access roads from NW Irwin Bridge Road and Farmer Road NW.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4451,"[['Name of Proposed Project:', 'Avemore'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Hwy 61, Hickory Level and South Van Wert (V07 0140003, V07 0140004, 169 0120, 168 0090)'], ['Brief Description of Project:', 'Technology Campus/Data Park'], ['Name of Proposed Project:', 'Avemore'], ['DRI ID Number:', '4451'], ['Developer/Applicant:', 'Atlas Development'], ['Telephone:', '4047094394'], ['Email(s):', 'jonathon@atlasdevelopment.org'], ['Estimated Value at Build-Out:', '>45 million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '>1 million'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Carroll County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'TBD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Villa Rica'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'TBD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4453,"[['Name of Proposed Project:', 'Transfer Station - ABC Waste'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '6 Patton Road, Savannah, GA 31405'], ['Brief Description of Project:', 'Transfer and consolidation of waste and other recyclables'], ['Name of Proposed Project:', 'Transfer Station - ABC Waste'], ['DRI ID Number:', '4453'], ['Developer/Applicant:', 'ABC Waste of Savannah (Charles Stewart)'], ['Telephone:', '912-547-1686'], ['Email(s):', 'charles@abc-waste.com'], ['Estimated Value at Build-Out:', '$3 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'TBD'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '100 GPD (0.0001 MGD)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '100 GPD (0.0001 GPD)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",DRI Determination Made
4446,"[['Name of Proposed Project:', 'Bolingbroke Technology Campus'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '32°56\'36.8""N 83°49\'29.6""W'], ['Brief Description of Project:', 'Proposed project consists of a technology campus with multiple buildings, substations and other utility improvements to serve the campus.'], ['Name of Proposed Project:', 'Bolingbroke Technology Campus'], ['DRI ID Number:', '4446'], ['Developer/Applicant:', 'Bolingbroke Technology Center, LLC'], ['Telephone:', '478-974-6611'], ['Email(s):', 'info@bolingbroketech.com'], ['Estimated Value at Build-Out:', '$5,800,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$60,000,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Monroe County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'On site Treatment'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '<0.08 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4444,"[['Name of Proposed Project:', 'Hard Labor Creek Water Treatment Facility'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '445 Social Circle Fairplay Road, Social Circle, Georgia 30025'], ['Brief Description of Project:', 'Waste Water Treatment Facility'], ['Name of Proposed Project:', 'Hard Labor Creek Water Treatment Facility'], ['DRI ID Number:', '4444'], ['Developer/Applicant:', 'Walton County Water & Sewerage Authority'], ['Telephone:', '770-466-4887'], ['Email(s):', 'morris.jordan@co.walton.ga.us'], ['Estimated Value at Build-Out:', '$181,000,000 ($140M water plant, $41M transmission'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Government Facility'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Walton County Water and Sewerage Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.18 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'On Site Septic'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'N/A'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4443,"[['Name of Proposed Project:', 'White Oak Technology Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Off Morris Callaway Road & Innovation Parkway, Tax Map 018 Parcel 006 & Tax map 019 Parcel 003, tota'], ['Brief Description of Project:', 'White Oak Technology Park is proposed to attract and accommodate world class technology businesses and data center development. Proposed uses include data centers, research & development facilities, cybersecurity providers, digital infrastructure and advanced technology companies, and other uses associated with data centers and technology facilities.'], ['Name of Proposed Project:', 'White Oak Technology Park'], ['DRI ID Number:', '4443'], ['Developer/Applicant:', 'Trammell Crow Company'], ['Telephone:', '404-923-1544'], ['Email(s):', 'dfredrick@trammellcrow.com'], ['Estimated Value at Build-Out:', '11.6 Billion'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$118,050,880'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Columbia County Water Utility'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '6.598 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Columbia County Water Utility'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '3.958 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4441,"[['Name of Proposed Project:', 'Vulcan'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '2334 BUTNER ROAD SW, 2484 DANIELS RD SW, 0 FAIRBURN ROAD SW,\r\nAND 4081 TELL RD SW, ATLANTA, GEORGIA'], ['Brief Description of Project:', 'The proposed development, Vulcan, will be a new residential community with approximately 800 new units including various products of townhomes, single family units, and associated amenities/open space.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4438,"[['Name of Proposed Project:', 'Hwy 278 Material Storage'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '120 Hwy 78, Monroe, Georgia 30655 Parcel C1890002 - 8.74 acres'], ['Brief Description of Project:', 'Recycle concrete/asphalt crushing, tree debris, recycle grinding & resale\r\nNonmetallic Mineral Product Manufacturing & Resale'], ['Name of Proposed Project:', 'Hwy 278 Material Storage'], ['DRI ID Number:', '4438'], ['Developer/Applicant:', 'Danny Cagle'], ['Telephone:', '770-616-7791'], ['Email(s):', 'madison@contourgp.com'], ['Estimated Value at Build-Out:', '$600,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$20,000 - $30,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Walton County Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '300 gallons per day'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'n/a'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'n/a'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4434,"[['Name of Proposed Project:', 'MADISON FARMS INDUSTRIAL CENTER'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'LAND LOTS 325, 326, AND 333 - 15TH DISTRICT'], ['Brief Description of Project:', '1,839,870 SF COMPRISED OF 9 BUILDINGS RANGING FROM 113,400 TO 267,840 SF. USE IF LIGHT MANUFACTURING AND LIGHT DISTRIBUTION. LOCATED ON THE WEST SIDE OF HWY 83, 0.25 MILES FROM I-20 EXIT 113.'], ['Name of Proposed Project:', 'MADISON FARMS INDUSTRIAL CENTER'], ['DRI ID Number:', '4434'], ['Developer/Applicant:', 'LONGLEAF COMMERCIAL PROPERTIES, LLC'], ['Telephone:', '404-545-5389'], ['Email(s):', 'GREG@LONGLEAFCOMMERCIAL.COM'], ['Estimated Value at Build-Out:', '$300,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$3,101,869'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'CITY OF MADISON'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.034 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'CITY OF MADISON'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.034 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4433,"[['Name of Proposed Project:', 'Project Bunkhouse'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Taff Road, south of Hwy. 113; 34.096532, -84.911951'], ['Brief Description of Project:', 'New 8, 675,0000 sq ft Data Center Development'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Completed
4431,"[['Name of Proposed Project:', '356 University'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '356 University Ave SW; Parcel ID: 14 0088 LL016'], ['Brief Description of Project:', 'The proposed development is currently envisioned as approximately 520 residential dwelling units (min. 30% affordable units) and 180,000 SF of light industrial space, and 54,200 SF of commercial space on a 13.7 acre site. The rezoning application from I-1 to I-Mix for the development was filed February 4, 2025 with City of Atlanta.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4425,"[['Name of Proposed Project:', 'Project Spalding'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '120 02016 and 120 001008'], ['Brief Description of Project:', 'Data Center Campus'], ['Name of Proposed Project:', 'Project Spalding'], ['DRI ID Number:', '4425'], ['Developer/Applicant:', 'Montana Property Group LLC c/o Steven L. Jones, Taylor English Duma LLP'], ['Telephone:', '404-218-2756'], ['Email(s):', 'sjones@taylorenglish.com'], ['Estimated Value at Build-Out:', '$1,875,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$26,859,000.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Spalding County Water and Sewerage Facilities Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0165'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Septic System'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.005'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4430,"[['Name of Proposed Project:', 'Sylvan Mixed Use'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1313 & 1215 Sylvan Road, 984, 985 & 997 Cox Avenue'], ['Brief Description of Project:', 'Mixed use development consisting of 3,032 residential units and 716,200 sf of\r\nnon-residential/retail/commercial/restaurant space'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4428,"[['Name of Proposed Project:', 'Gregory Road Data Center'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '-83° 48’ 58.1” W, 33° 39’ 09.2” N - center; 89, 161, 170, 301, 317, 319, 375, 378, 653, 657, & 665 G'], ['Brief Description of Project:', 'Data Center Campus occupying multiple buildings up to 1,410,000 square feet on approximately ±213.0 acres (with ± 307.50 acres of residential with approximately 27 lots for a total of ±520 acres) \r\n\r\nProject size: ±213.0 acres, 1,410,000 SF Industrial Data Center, and ± 307.50 acres with approx. 27 single-family estate lots shown on site plan with other proposed residential land vacant.\r\n\r\nIf yes, property owner: Multiple ownership, including developer & others: JBW Investments, LLC; JF Land Investments, LLC; Tide Investments, LLC; FW Johansen Investments, LLC; James Moss, LLC; and John B. Williams & Alyce Toonk.\r\n\r\nA water line extension is not required to serve this property.\xa0 Water service is currently available to the property along Gregory Rd.\xa0 It is critical to note that this proposed development will require extensive relocation of an existing 30-inch water transmission main, located in the Gregory Rd right-of-way, that supplies water to the Cornish Mountain elevated water tank, northern and western Newton County, and a primary interconnect serving Walton County.'], ['Name of Proposed Project:', 'Gregory Road Data Center'], ['DRI ID Number:', '4428'], ['Developer/Applicant:', 'John B. Williams'], ['Telephone:', '678-571-4843'], ['Email(s):', 'eric@universalplanningllc.com'], ['Estimated Value at Build-Out:', '$5.7B'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$19,171,758.50'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Newton County Water & Sewerage Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '±1.08 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Undesignated'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '±0.360 GPD after evaporation'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4427,"[['Name of Proposed Project:', 'Everhour Phase 2 Residential Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '326 Green Top Road\r\nLand Lots 107 & 86, 5th District, City of Newnan, GA'], ['Brief Description of Project:', 'Continuation of multi-phase residential development. Phase I (163.6 acres) was previously approved for 300 single-family detached units. Phase II (122.64 acres) is proposed for an additional 235 single-family detached units, which has triggered the DRI review.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4426,"[['Name of Proposed Project:', 'Social Circle Technology Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Lat: 33.616280 Long: -83.740124 East of SR 11, north of I-20, and west of Social Circle Road'], ['Brief Description of Project:', 'New 2,567,040 sf data center development. Nine proposed buildings.'], ['Name of Proposed Project:', 'Social Circle Technology Park'], ['DRI ID Number:', '4426'], ['Developer/Applicant:', 'SC Infrastructure'], ['Telephone:', '770-436-3409'], ['Email(s):', 'bkaaber@tpa-grp.com'], ['Estimated Value at Build-Out:', '$5B'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$7M'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Newton County Water and Sewerage Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.23 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Newton County Water and Sewerage Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.19MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4424,"[['Name of Proposed Project:', 'McDonough Civic Complex'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '207 College St, 100 Cola Welch Pkwy, 105 Cola Welch Pkwy, Cap Welch Dr, McDonough GA'], ['Brief Description of Project:', 'This is a proposed mixed use development on 70 acres of land. This development includes retail, commercial, office, residential and multifamily housing components.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4423,"[['Name of Proposed Project:', 'Project 34'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1000 E Hwy 34, Newnan, GA - Parcel 097-5078-001'], ['Brief Description of Project:', '784,700 SF Distribution Center'], ['Name of Proposed Project:', 'Project 34'], ['DRI ID Number:', '4423'], ['Developer/Applicant:', 'Exel inc. d/b/a DHL Supply Chain (USA)'], ['Telephone:', '614-209-0713'], ['Email(s):', 'steve.hess@dhl.com'], ['Estimated Value at Build-Out:', '$50,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'TBD'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Coweta County Water & Sewer Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.01 MGD (10,000 gallons/day)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Coweta County Water & Sewer Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.004 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",DRI Determination Made
4422,"[['Name of Proposed Project:', 'Hickman Property'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Land Lot(s): 0116, 0141, 0142, 0143, District: 02, Section: 5, Parcel(s): 0116-025-0001, 0116-025-00'], ['Brief Description of Project:', 'Rezoning from Residential-Agricultural and Special Use Permit to allow development of 700.69 acres in Douglas County (site also includes 35.47 acres in the City of Villa Rica) for 11 data center buildings (10 located in unincorporated Douglas County and 1 located within the city limits of the City of Villa Rica) (comprising 6,220,000 sq. ft. of development) and 3 single-docked warehouses (2 located in unincorporated Douglas County and 1 located within the city limits of the City of Villa Rica (comprising 66,000 sq. ft.).'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4421,"[['Name of Proposed Project:', 'McLendon Tract PUD'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '302 and 420 Bush Road, Savannah, GA'], ['Brief Description of Project:', 'The proposed project is a Planned Unit Development consisting of 1,500 residential units and 6.5 acres of mixed-use neighborhood commercial and multifamily.'], ['Name of Proposed Project:', 'McLendon Tract PUD'], ['DRI ID Number:', '4421'], ['Developer/Applicant:', 'Northpoint Industrial XVI, LLC'], ['Telephone:', '912-443-1577'], ['Email(s):', 'tstringer@foramgroup.com'], ['Estimated Value at Build-Out:', '490,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '8,094,231.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.45 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.45 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4420,"[['Name of Proposed Project:', 'Racetrac Extended Diesel Offer'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4752 Highway 129 North, Jefferson, GA 30567 (Parcel 092/009B and part of 092/003B2)'], ['Brief Description of Project:', 'Proposed 8,100 square foot travel center on a 5.07 acre tract with extended diesel offer canopy and pump islands and underground storage tanks. Existing petroleum canopy and pump islands with underground tanks to remain'], ['Name of Proposed Project:', 'Racetrac Extended Diesel Offer'], ['DRI ID Number:', '4420'], ['Developer/Applicant:', 'Racetrac, Inc.'], ['Telephone:', '954-305-2637'], ['Email(s):', 'mgregorio@racetrac.com'], ['Estimated Value at Build-Out:', '8,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '1,000,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Jefferson, GA'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.00222 mgd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Jefferson, GA'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0018 mgd'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4416,"[['Name of Proposed Project:', 'Short Road Mixed Use'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '6285, 6275 Short Road, Fairburn, GA 30213'], ['Brief Description of Project:', 'Mixed use development comprised of: 225 townhomes, 61 single-family detached homes, 44,150 SF Commercial/Retail Space, 11,000 SF of Institutional Use'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4414,"[['Name of Proposed Project:', 'Project West'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '32.982620, -85.014525'], ['Brief Description of Project:', 'This project is proposed to include six (6) 252K sq. ft. industrial buildings as well as an electrical substation and other utility improvements on seven (7) parcels that have a cumulative total of +/- 513 acres in support of a technology park / datacenter campus.'], ['Name of Proposed Project:', 'Project West'], ['DRI ID Number:', '4414'], ['Developer/Applicant:', 'Project West WHP - GA LLC'], ['Telephone:', '678-481-8072'], ['Email(s):', 'joshua.harrelson@gmail.com'], ['Estimated Value at Build-Out:', '6,000,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '60,000,000.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of LaGrange'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.1 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of LaGrange'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.1 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
